,Tiempo,X,Y
0,-0.39760327339172363,5.263090133666992e-05,4.172325134277344e-07
1,-0.696052074432373,5.263090133666992e-05,4.172325134277344e-07
2,-1.0018320083618164,5.263090133666992e-05,4.76837158203125e-07
3,-1.2850699424743652,5.257129669189453e-05,4.76837158203125e-07
4,-2.636033296585083,5.257129669189453e-05,4.76837158203125e-07
5,-2.9179930686950684,5.251169204711914e-05,4.76837158203125e-07
6,-3.217391014099121,5.257129669189453e-05,4.76837158203125e-07
7,-3.5149378776550293,5.251169204711914e-05,4.76837158203125e-07
8,-3.8703773021698,5.257129669189453e-05,4.76837158203125e-07
9,-4.156168460845947,5.257129669189453e-05,5.364418029785156e-07
10,-4.441580772399902,5.257129669189453e-05,5.364418029785156e-07
11,-5.769285440444946,5.251169204711914e-05,5.960464477539062e-07
12,-6.058833360671997,5.251169204711914e-05,6.556510925292969e-07
13,-6.3571155071258545,5.251169204711914e-05,6.556510925292969e-07
14,-6.651738882064819,5.251169204711914e-05,7.152557373046875e-07
15,-8.10403299331665,5.251169204711914e-05,7.748603820800781e-07
16,-8.411823511123657,5.245208740234375e-05,8.940696716308594e-07
17,-8.708055257797241,5.245208740234375e-05,8.940696716308594e-07
18,-9.019295692443848,5.245208740234375e-05,9.5367431640625e-07
19,-9.320814609527588,5.245208740234375e-05,9.5367431640625e-07
20,-9.625245332717896,5.245208740234375e-05,9.5367431640625e-07
21,-9.945340633392334,5.245208740234375e-05,9.5367431640625e-07
22,-10.352798461914062,5.239248275756836e-05,9.5367431640625e-07
23,-10.660242080688477,5.239248275756836e-05,9.5367431640625e-07
24,-10.957005977630615,5.239248275756836e-05,1.0132789611816406e-06
25,-11.272131443023682,5.239248275756836e-05,1.0132789611816406e-06
26,-11.586305618286133,5.239248275756836e-05,9.5367431640625e-07
27,-11.896287441253662,5.233287811279297e-05,9.5367431640625e-07
28,-12.195500373840332,5.233287811279297e-05,8.940696716308594e-07
29,-12.51137089729309,5.233287811279297e-05,8.940696716308594e-07
30,-12.82867431640625,5.233287811279297e-05,8.940696716308594e-07
31,-13.110759019851685,5.227327346801758e-05,8.940696716308594e-07
32,-13.422689437866211,5.227327346801758e-05,8.940696716308594e-07
33,-13.746909141540527,5.227327346801758e-05,8.940696716308594e-07
34,-14.100938081741333,5.227327346801758e-05,9.5367431640625e-07
35,-14.40132451057434,5.233287811279297e-05,8.940696716308594e-07
36,-14.706761837005615,5.233287811279297e-05,9.5367431640625e-07
37,-15.000468969345093,5.233287811279297e-05,9.5367431640625e-07
38,-15.344622373580933,5.233287811279297e-05,9.5367431640625e-07
39,-15.654279470443726,5.233287811279297e-05,1.0132789611816406e-06
40,-15.956396102905273,5.227327346801758e-05,1.0132789611816406e-06
41,-16.25094723701477,5.227327346801758e-05,1.0728836059570312e-06
42,-16.54856300354004,5.227327346801758e-05,1.0728836059570312e-06
43,-16.863714456558228,5.227327346801758e-05,1.0728836059570312e-06
44,-17.163700103759766,5.221366882324219e-05,1.0728836059570312e-06
45,-17.468303442001343,5.221366882324219e-05,1.0728836059570312e-06
46,-17.77638030052185,5.21540641784668e-05,1.0728836059570312e-06
47,-18.07860517501831,5.21540641784668e-05,1.0728836059570312e-06
48,-18.400037050247192,5.21540641784668e-05,1.0132789611816406e-06
49,-18.6992506980896,5.2094459533691406e-05,1.0132789611816406e-06
50,-19.000720024108887,5.2094459533691406e-05,1.0132789611816406e-06
51,-19.29578447341919,5.2034854888916016e-05,1.0132789611816406e-06
52,-19.62857699394226,5.2034854888916016e-05,1.0132789611816406e-06
53,-19.926700592041016,5.2034854888916016e-05,9.5367431640625e-07
54,-20.233546495437622,5.1975250244140625e-05,9.5367431640625e-07
55,-20.540366649627686,5.1915645599365234e-05,9.5367431640625e-07
56,-20.85050892829895,5.1915645599365234e-05,9.5367431640625e-07
57,-21.19329333305359,5.1915645599365234e-05,8.940696716308594e-07
58,-21.513095140457153,5.1915645599365234e-05,8.344650268554688e-07
59,-21.825359106063843,5.1915645599365234e-05,8.344650268554688e-07
60,-22.141894102096558,5.1915645599365234e-05,7.748603820800781e-07
61,-22.43958568572998,5.1915645599365234e-05,7.152557373046875e-07
62,-22.7490816116333,5.1915645599365234e-05,7.152557373046875e-07
63,-23.077057361602783,5.1915645599365234e-05,6.556510925292969e-07
64,-23.365516901016235,5.1975250244140625e-05,5.960464477539062e-07
65,-23.67599368095398,5.1975250244140625e-05,5.960464477539062e-07
66,-23.97346019744873,5.1975250244140625e-05,5.364418029785156e-07
67,-24.282009601593018,5.1975250244140625e-05,5.364418029785156e-07
68,-24.619088172912598,5.2034854888916016e-05,4.76837158203125e-07
69,-24.952942609786987,5.2034854888916016e-05,4.76837158203125e-07
70,-25.280269145965576,5.2094459533691406e-05,4.76837158203125e-07
71,-25.57495951652527,5.2094459533691406e-05,4.172325134277344e-07
72,-25.856865167617798,5.2094459533691406e-05,4.76837158203125e-07
73,-26.173203229904175,5.2094459533691406e-05,4.76837158203125e-07
74,-26.46763253211975,5.2094459533691406e-05,4.76837158203125e-07
75,-26.771710872650146,5.21540641784668e-05,4.76837158203125e-07
76,-27.067538738250732,5.21540641784668e-05,4.76837158203125e-07
77,-27.375088930130005,5.21540641784668e-05,5.364418029785156e-07
78,-27.657903909683228,5.221366882324219e-05,5.364418029785156e-07
79,-27.95940923690796,5.221366882324219e-05,5.960464477539062e-07
80,-28.263620376586914,5.221366882324219e-05,5.960464477539062e-07
81,-28.55327296257019,5.221366882324219e-05,6.556510925292969e-07
82,-28.84643578529358,5.227327346801758e-05,6.556510925292969e-07
83,-29.142701864242554,5.227327346801758e-05,6.556510925292969e-07
84,-29.505192518234253,5.227327346801758e-05,6.556510925292969e-07
85,-29.80085825920105,5.233287811279297e-05,6.556510925292969e-07
86,-30.155153036117554,5.233287811279297e-05,6.556510925292969e-07
87,-30.453415632247925,5.233287811279297e-05,6.556510925292969e-07
88,-30.757946014404297,5.233287811279297e-05,7.152557373046875e-07
