# EMCCD raw fluorescence data file (1 ions, 2 traces)
# trace names: 'rsbAx' 'bsbAx'
# format:
# | signalSlot | countcycle 1 .....
# |            | trace 0 | trace 1 |
# |            | ion 0   | ion 0   |
0	50	183.25	177	163.75	184.75	182.75	160.75	200.25	198	197.25	198	186.25	215	194.75	188.75	176	165.25	167.75	170.25	187	179	198	174	186	189.5	179.5	169.75	169	185.25	204.25	180	204.75	175	172.5	191.25	159	193.5	168	193.75	158.5	184.25	166	200.5	192.25	169	170	173.5	166.5	183.5	175.25	197.75	174.5	203.75	202.5	189	193.5	180.25	186.75	190.25	163.25	179.5	212	188.25	173	161.75	170	186.25	176.25	187	179.5	181.5	170.5	176	201	199.5	177.5	184.75	167	165.25	191.75	192	180.5	185.75	175.75	179.5	167.5	163.5	199.75	169.25	175.5	174.5	180.75	162.25	188.5	174.75	179	188.75	167	181.25	177	175	
9.9e-006	50	167.5	220	182.5	176.5	192.5	183	175	162	176.5	189.5	106.25	202.75	194.75	183	169	178	187.75	120.75	163.75	133	176.75	197.5	174	168.25	117.25	164	196	193.25	206.5	188	164	111.25	205	173.5	117.5	193.25	201.75	208	173.5	186.25	190	174.75	173.25	167.5	191.25	122.25	167.25	195.5	189.25	183.25	196.25	120.75	176.75	186.75	174	118.75	175.5	164.75	178	166.75	118.25	180.25	173.25	115.5	167.5	185.75	176	188.75	167.75	116.5	182.5	198.5	187.25	168.5	117	116	181.75	176	169.25	164	168.5	119	172.25	187.75	187.75	187.25	119.75	188.25	195	167	190.75	185.5	111.75	175.5	190	164.75	206.75	189.25	189.75	172.5	
1.98e-005	50	118.25	121.75	165	172.75	111	184.25	199	123	122.25	129.75	165.25	120	187	178.5	182.5	122	125.25	207	119	126	121.5	177.75	119.75	158	185	198	180	193.75	185	179.5	165.5	121.75	194.75	167	168.25	184.25	163.25	193.5	118.75	176.75	116.5	113.75	120	121.5	114	183.25	193.75	168	175.25	119.75	189.5	165.5	187.25	116.25	125.75	126	188.75	129	114	180.5	120.25	123.25	172.75	198.25	197.75	193.75	171.5	178.5	116.75	125.75	125.5	198	116	164.25	171.75	178.5	120	120.5	169.25	112.5	125.5	187	122.5	122.75	122.25	120.5	122.75	164.25	109.75	129.5	113.5	180.25	114.5	180.25	191.25	113.75	122.75	121.75	117.75	112.5	
2.97e-005	50	115.25	122	119.75	112.25	157.75	172.5	110	176.5	116.5	168	162.5	174.5	121.25	183.25	193	179.5	123	185.75	112.5	123	113.5	194.25	114.75	169.75	115.75	207	112.5	109.25	118.5	180	111.25	128.75	122.5	190.75	179.75	127.25	121.25	114	126.25	114.25	174.5	174.25	118.5	178	125	124.25	163.75	121.25	118.75	119.5	126	112.75	181	189.25	194.5	168	173.25	130	180.75	121.5	112.5	187.75	175.75	125.75	115.5	181	121.75	189.25	131.25	119.5	114.5	189.5	161.5	129.5	113.25	124	119.5	123.25	124.5	188	122.75	115	125.25	112.5	190.25	122.75	183	195.25	116.5	118.5	127.75	119	190	127.75	183.75	114.5	156.5	169.25	199.75	122.75	
3.96e-005	50	156.25	140.75	181.75	107.75	115.25	111.5	126.5	170.75	120.25	115.25	114.5	118	125.25	198.75	121.25	118	192.75	118.25	125.75	170.25	178.75	181.25	120.25	115	176.25	121.75	122	136.75	129.5	176	170.5	115.5	180.5	196.75	112.5	113.5	124.75	122.25	127	192.5	116	210.75	171.5	178	196.5	190.5	119.5	171.75	177.75	148.75	128.5	178.5	112	114	185.25	122.75	113.25	118.75	187.5	187.75	125.25	119.5	112.5	109.25	118.25	123.75	172	173.25	121.75	206.25	182	108	189.5	185.5	113.25	182.75	123.5	116.25	130.25	118.25	212.25	122	115.75	115	171	122.75	108.25	123.25	118	177.75	199	171.25	182.75	121	179.5	122.5	174.5	125	123	204.25	
4.95e-005	50	206.75	116.5	114	107.75	124.75	122.25	107.75	125.5	112.5	119.75	120	188.5	114.25	130	187.25	189.25	179	170	163.75	112.75	163.25	125.5	122.5	113	113.25	173.5	121	167.75	127.5	153	114	165	194.25	119.75	192.75	125.25	113	118.75	111.5	180.5	159.5	195.75	122.75	186	116.25	119.75	175	191.75	165.75	174	173.75	122	117.5	118.75	188.75	163.75	189	173.75	154	170.75	124	114.5	171.75	120.25	114.5	113	108	184.5	202.75	114.25	179.75	182	191.75	130	123.75	189	167	121.5	180.75	177.75	153.25	169	119.5	118.25	192.5	118	122	185	184.5	181.75	112.75	120.25	114.5	184.75	173	169.5	197.75	111.25	178.5	192.5	
5.94e-005	50	192.75	116.5	112	172.75	113.75	116.5	111	180.5	114.5	168	177.5	190.5	125.5	180.75	112.5	115.5	116.25	174.75	172.25	112.5	108.25	182.5	182.5	124.25	194	181	117	180.5	127.25	125	163.5	122.75	126.5	114.25	116	194.5	178.5	120	170.75	122.75	193.25	175.5	185.75	188	196.75	185.75	185	200.5	201.5	179	172.25	198.25	170.75	183.25	186	205.75	181.75	198.75	175.75	123.5	120.25	197.25	185	208.25	181.5	116.75	186.5	123.5	201	119	211	105.75	124.75	120.75	197.5	115.5	214.25	187.25	218.5	183.75	175	120.75	177.75	185.75	194.75	120.75	197.75	172.5	158.5	120.75	113.75	186.25	179.25	192	192.75	189.75	176.5	202.5	184.75	124	
6.93e-005	50	176.5	169	121.25	165.75	191	110.25	194.5	110.75	109	114.75	189.25	196.5	123	157.75	179	187.5	124.25	119	164.75	132	161.25	129.25	115.25	127.25	174.25	151.75	182.5	189.5	168	119.75	196.75	114.5	123.75	132	113.5	118	125.25	121.75	175.75	184.5	198	177.5	170.5	125.25	110.25	204	121	179	115.75	194.25	117.75	119.25	120.25	160	162.75	174.5	200.25	184.25	121	173.75	186.25	191.5	113.75	181.75	134.5	125	115.75	180.75	172.25	192.5	171	183	112.5	112.5	176.25	203.25	107	115	186.75	163.5	115.25	119.75	120.75	113.25	200.5	166	175.25	193	123.25	111.5	118.75	179.5	179.75	115.75	170	187.5	120	196.75	122.75	185.5	
7.92e-005	50	111.25	111.5	208	174.25	204.75	111.75	180.5	111.25	191.25	202.75	186.75	190	172.25	195	116	167.5	162.5	187.75	122.75	193	181.25	178.5	173.25	171.25	162.25	125.75	176	111.5	158.5	176.5	124.5	124.25	124.25	199	172.25	123.5	116	200.5	173	118	185.5	118.5	122.25	105.25	171.75	163.25	112.75	170.25	113.75	121	165	117.5	193.25	179.5	175.25	117	125	123.25	168.5	112.25	124.25	119.5	123	196.25	118.75	196	188.25	130.5	131.75	115.25	174.75	104	113.5	176	125.5	171.25	194	119	184.75	171	180.25	119.25	109	181.25	182.75	107.25	127.5	179.5	172.25	175.5	175.75	124.75	122.5	186.25	195.75	113.75	125.5	125	117.5	181.5	
8.91e-005	50	168.25	120.75	111.25	118.25	124.5	123.25	116.25	162.5	163.75	200.75	181.5	181	192.5	114.5	207.5	116.25	170.5	122.5	201.75	111.75	196.25	129	117	128.75	111.75	131	196.75	175.25	125	200.25	176	124.25	207.75	182	184.75	191.5	121	117.25	122.5	179.25	185.75	185.25	122.75	126	124.5	168.75	110.25	129	115	180.25	178.5	106.5	127	203.75	108.75	174.5	113.75	130.5	174	192.25	117	178	118.5	187.5	126	148.5	118.5	193.75	163.25	180.25	191.75	170.5	167.25	191	173.25	116.75	116.75	174.75	196.25	108.5	175.25	176.75	112.5	181.25	130	132	196.25	198.75	173.75	175.75	114.75	192	131.75	189.75	191	135.25	114.25	199.5	125.25	184.75	
9.9e-005	50	114.25	182.75	155	213	195.25	191.75	106.25	121.5	114.25	110.25	117	192.75	111.25	195.75	105.5	217.25	114.5	201.75	117.5	196.5	163.5	133.75	175.5	168.5	188.75	118.75	213.75	120.75	128.25	176.5	178.25	172.5	187	195.75	126.25	165	177.5	182.75	171.75	160.75	115.5	117.25	211	161	177.75	193.25	169.25	125.75	187.25	114.75	157.75	110	119	138	123.75	121.75	116.25	104.5	110.5	196.5	120.5	112	120	172.5	117.75	116.75	159	207.75	207	185.25	122.25	158	129.5	190.5	115.25	108.5	184.75	128.75	193.5	129	179.25	160.75	119.5	116.75	185	122.75	181.5	116	125	189.25	182.5	194.5	110	168	195	163.75	173.5	186.25	184	164.25	
0.0001089	50	170.5	174	162.25	175.75	185.75	174.25	176.75	182.75	191.5	122	114.75	113.5	120.25	113	122.25	117	110.5	174.75	129.25	175.25	161.25	117.75	118.5	121.75	118.25	117.5	120.75	132	169.25	121.25	139	117.25	202.5	170	110.75	180	124.75	167	126	116.5	182	169.75	116	190.5	117.5	108	113	167.5	113.75	120.5	177	176	177	121.25	118.25	185.25	114.5	204.75	187	154.25	172.5	118.25	111	120.75	190.5	116	118.25	183.25	116.5	123.5	125.25	182.5	160.75	128	182.75	184.25	121.75	164.5	175.5	176	195.5	128.25	173	174.75	123	187.5	111.75	115.5	129	108.25	158.5	171	115.25	174.75	165	130.75	195.75	115	165	126.25	
0.0001188	50	115.75	122	116.25	182	157.75	115	162.75	197	110	190.5	110.25	211.25	193.75	167.5	133.25	205.25	190.25	111.5	116	120.75	194.5	122.75	160.75	115.25	120	118.25	185.75	109.75	190.75	169.25	196.25	174.75	123.25	120.5	119.75	192.5	205.25	177.75	119.25	190	166.25	183.5	115.5	107.5	174.75	118.5	184.5	159.25	113.5	200.75	171.25	173.75	156.5	125.5	128.75	119.75	136.25	112	138.5	177.75	119.75	175.75	192.25	121.5	117.5	190	168.75	114.25	119.25	113.5	181	118.5	193.5	193.75	165.5	126.5	117.25	171.75	108	130.25	171	191.5	176.75	162	129.5	175.25	115.5	118.5	116.25	154.75	123	189	121	131	115.75	117.5	186.25	176.25	114.25	117.25	
0.0001287	50	168.5	164.25	117.5	112	174.25	121.5	186.25	179.75	117.75	150.5	170.5	194.25	157.75	113	180	185	194.5	134.25	119.25	123	109.25	170.25	110.25	120.25	161	105.5	121.5	166	181	161	127.5	166.25	179.25	122.75	118.5	113	200.75	183	165.75	178	108.5	116	179.75	121.25	114.75	124	123.75	115	186.75	171.75	192.25	205.25	111.5	166.75	123.25	125.5	179.5	174.25	167.75	125.25	178.75	189.5	115.5	170.75	119.5	200.75	114.25	113	182.75	119	177.5	115.75	119.25	164.75	122.25	120.5	187	120.25	175.25	127.5	119.75	111	203.5	188.5	171	182.25	205.25	169.75	119	172.25	123.5	162.75	115.5	111.5	212	161.25	189.75	174.5	171.5	114.75	
0.0001386	50	114.5	124.5	197.75	214.75	141.75	169	113	171.25	183	166.75	187.75	175.25	111	125	124.25	112.75	122.5	111.25	189.5	202.25	204	108.25	191.5	167.5	171.25	184.75	176.25	192.75	198.5	171.25	131.25	113.75	116.25	177.5	123	118	165.75	126.75	117.25	112.5	165	198.25	164	168.75	191.75	117.75	120	186	194	131	183.25	169	160	121.75	115.75	187	191	177	215.75	124	111	127.5	193.25	175.25	109.5	161.25	178.25	167.5	181.75	123.5	122	172.75	119.25	109.25	179	122	141.25	186.25	177	171	121	118.5	174.5	182.75	197.75	172	181.25	192.75	188.5	119.25	164	109	168.75	117	194.75	115.75	117.75	122.25	187.25	179.75	
0.0001485	50	177.75	168.75	162	182	115.5	141.25	115.25	162.5	134	104	182.75	116	212	174.25	111.25	211.5	181.75	200.5	171.25	119	122.75	200.5	161.25	188	165.75	189.25	178.25	169	194.25	123	120.25	122.5	209.25	179	177.75	168.25	186	165.25	181.5	120.25	190.25	117.75	174.25	210.25	119.25	178.25	166.25	183.75	114.5	157.75	181.75	123	167.75	118	112.5	163.75	110.75	178.75	173	176.75	183.5	156.75	112.75	154.75	116.25	179.75	174.5	193.25	126.5	178.75	173	123.25	179.75	120.25	179.25	174.75	111.5	190.5	116.75	193.5	203.75	119.5	116	121.75	120.75	170.25	175	196.5	198.25	124.25	196.25	175	177.25	189	175	176.75	179.5	177.5	114.75	109.5	
0.0001584	50	174.75	176.75	206.75	162.75	191.25	137.75	123	131.75	172.75	190.5	120	171.75	174.75	119.75	116.5	124	131	113	167.25	180	186	189.5	169.75	109.75	182	168.25	114	129.25	172	184.5	189.25	201.25	163.5	108.75	125.5	116	191.5	197.75	177.75	199.75	181	196	114.25	114.25	108	167.75	121	179.25	213.5	118.75	193.5	185.75	119.75	119	113	185.5	118.5	181	175.25	188.5	118.5	196.5	183.75	173	111.5	124.75	154.25	120.25	119.5	185	206	123.25	122.25	193	119.5	124.75	121.25	119.5	114.25	119.25	161	184.5	121.25	181.75	182.75	119.5	183.5	116.5	162.5	186.75	193	120	118.5	121	177.75	158.5	112.75	188.25	124.25	178.75	
0.0001683	50	125.75	206.25	186.5	187.75	112	128.75	182.75	110.25	182	184.25	121.25	200.5	119.75	174.5	178	164.75	181.75	183.25	117	170.5	115.25	219.75	177	117	128	120	186	120.75	188	112.25	127.75	172	116.75	175.5	175	188	124	179.25	165.75	178	121.75	201.75	118.5	166.25	203	123.25	116	186.75	117.25	129.5	216.75	110.5	171	122.5	124	182	215.75	125	119.25	117.75	113.75	121	170	115.5	195.25	183	184	175.25	110.25	121.25	153	187.75	230.25	170.75	188	115.5	136	182.25	171.75	117.5	166.25	107.5	175	119.25	171.5	137.5	120	179.25	112	107.25	171.25	125.75	198.75	191	192	131.25	163.75	155.5	121.5	189	
0.0001782	50	174	118	176.75	136.5	178.75	116.75	112.5	182.5	183	132.25	116	115.25	198.25	121.25	121	107.25	184.5	170.25	173	178	194.5	177	185.75	206	175.5	181	178.75	194.25	137.5	119	165.5	180.5	194.5	120.5	120.25	199.5	127.25	185.75	119	157.75	120.25	119.5	191.25	201.75	167	207.75	182.75	196.5	109.75	126.5	170.5	183.75	120.5	119.25	174.5	127.25	119	183.25	191.5	179	170.5	111.25	122.25	211.5	116.75	186	128.75	184.25	184.5	118.5	180.75	113.5	114.5	179.5	191.5	180	172.5	118.5	186	176.75	192	177.5	188	182	110.25	123.75	169.25	119	122	112.75	178.75	184.5	184.5	127	125.5	167.75	163.75	196.75	168.25	121	
