,frec,X,Y
0,1238,0.001572728157043457,0.0007559657096862793
1,939,-0.000529170036315918,0.0007985234260559082
2,712,-0.00048041343688964844,-0.00025159120559692383
3,540,0.0003725886344909668,-0.00011914968490600586
4,409,8.612871170043945e-05,-0.00019443035125732422
5,310,4.684925079345703e-05,-0.00010961294174194336
6,235,7.56978988647461e-05,-6.079673767089844e-05
7,178,8.177757263183594e-05,2.0802021026611328e-05
8,135,3.409385681152344e-05,1.2576580047607422e-05
9,102,4.1544437408447266e-05,-6.4373016357421875e-06
10,77,4.589557647705078e-05,8.344650268554688e-06
11,58,5.060434341430664e-05,5.7220458984375e-06
12,44,4.851818084716797e-05,1.6689300537109375e-06
13,33,4.780292510986328e-05,7.331371307373047e-06
14,25,4.500150680541992e-05,6.4373016357421875e-06
15,19,4.7147274017333984e-05,9.953975677490234e-06
16,14,4.6133995056152344e-05,1.0371208190917969e-05
17,11,4.416704177856445e-05,8.761882781982422e-06
18,8,5.322694778442383e-05,6.973743438720703e-06
19,6,4.9173831939697266e-05,1.6629695892333984e-05
20,4,4.178285598754883e-05,3.343820571899414e-05
21,3,1.2576580047607422e-05,2.6702880859375e-05
22,2,3.3736228942871094e-05,4.035234451293945e-05
23,2,5.3882598876953125e-05,5.08427619934082e-05
24,1,-3.629922866821289e-05,3.039836883544922e-05
25,1,-3.504753112792969e-05,6.324052810668945e-05
26,0,2.47955322265625e-05,-4.9233436584472656e-05
27,0,3.0517578125e-05,-4.786252975463867e-05
28,0,2.8789043426513672e-05,-4.8041343688964844e-05
29,0,2.676248550415039e-05,-4.9114227294921875e-05
30,0,2.473592758178711e-05,-5.02467155456543e-05
31,0,2.765655517578125e-05,-4.929304122924805e-05
32,0,2.8789043426513672e-05,-4.839897155761719e-05
33,0,2.6464462280273438e-05,-4.976987838745117e-05
34,0,2.47955322265625e-05,-4.887580871582031e-05
35,0,2.574920654296875e-05,-5.0187110900878906e-05
36,0,2.86102294921875e-05,-4.8220157623291016e-05
37,0,2.1278858184814453e-05,-4.106760025024414e-05
38,0,2.8014183044433594e-05,-4.845857620239258e-05
39,0,2.5272369384765625e-05,-5.054473876953125e-05
40,0,2.8371810913085938e-05,-4.8100948333740234e-05
41,0,2.86102294921875e-05,-4.8279762268066406e-05
42,0,2.8073787689208984e-05,-4.845857620239258e-05
43,0,2.8967857360839844e-05,-4.798173904418945e-05
44,0,2.6464462280273438e-05,-4.935264587402344e-05
45,0,2.8192996978759766e-05,-4.971027374267578e-05
46,0,3.0159950256347656e-05,-4.792213439941406e-05
47,0,2.8252601623535156e-05,-4.887580871582031e-05
48,0,2.7120113372802734e-05,-4.881620407104492e-05
49,0,2.944469451904297e-05,-4.786252975463867e-05
50,0,2.586841583251953e-05,-4.988908767700195e-05
51,0,2.384185791015625e-05,-4.9173831939697266e-05
52,0,2.753734588623047e-05,-4.935264587402344e-05
53,0,2.8967857360839844e-05,-4.780292510986328e-05
54,0,2.7060508728027344e-05,-4.839897155761719e-05
55,0,2.7954578399658203e-05,-4.9054622650146484e-05
56,0,2.6941299438476562e-05,-4.9591064453125e-05
57,0,2.47955322265625e-05,-4.941225051879883e-05
58,0,2.6404857635498047e-05,-4.851818084716797e-05
59,0,2.6404857635498047e-05,-4.857778549194336e-05
