,frec,X,Y
0,1238,-0.005274474620819092,-0.002969086170196533
1,815,-0.0019391775131225586,-0.002195417881011963
2,536,0.00015968084335327148,0.0013367533683776855
3,352,-0.0004996061325073242,0.000276029109954834
4,232,-0.00021475553512573242,0.00011563301086425781
5,152,2.9146671295166016e-05,0.00010162591934204102
6,100,3.0159950256347656e-05,-5.364418029785156e-05
7,66,5.781650543212891e-06,-2.866983413696289e-05
8,43,1.6808509826660156e-05,-1.0669231414794922e-05
9,28,2.5033950805664062e-05,-2.9802322387695312e-06
10,18,2.2530555725097656e-05,-7.092952728271484e-06
11,12,2.372264862060547e-05,-1.1682510375976562e-05
12,8,2.467632293701172e-05,-1.9609928131103516e-05
13,5,2.282857894897461e-05,-2.2351741790771484e-05
14,3,3.0875205993652344e-05,-4.756450653076172e-05
15,2,7.802248001098633e-05,-9.363889694213867e-05
16,1,4.309415817260742e-05,-1.531839370727539e-05
17,1,9.763240814208984e-05,9.179115295410156e-06
18,0,7.253885269165039e-05,4.863739013671875e-05
19,0,6.693601608276367e-05,5.5730342864990234e-05
20,0,6.0498714447021484e-05,5.346536636352539e-05
21,0,6.514787673950195e-05,4.607439041137695e-05
22,0,6.0558319091796875e-05,5.0961971282958984e-05
23,0,7.05718994140625e-05,5.120038986206055e-05
24,0,7.039308547973633e-05,5.328655242919922e-05
25,0,6.765127182006836e-05,4.857778549194336e-05
26,0,5.829334259033203e-05,5.042552947998047e-05
27,0,6.80685043334961e-05,4.786252975463867e-05
28,0,5.7756900787353516e-05,5.53131103515625e-05
29,0,5.632638931274414e-05,5.4776668548583984e-05
30,0,8.195638656616211e-05,4.0411949157714844e-05
31,0,6.079673767089844e-05,4.8995018005371094e-05
32,0,6.41942024230957e-05,5.173683166503906e-05
33,0,6.496906280517578e-05,4.8279762268066406e-05
34,0,5.9545040130615234e-05,5.316734313964844e-05
35,0,6.002187728881836e-05,5.424022674560547e-05
36,0,6.35385513305664e-05,5.120038986206055e-05
37,0,6.794929504394531e-05,4.971027374267578e-05
38,0,6.753206253051758e-05,4.9173831939697266e-05
39,0,6.0617923736572266e-05,5.060434341430664e-05
