# EMCCD raw fluorescence data file (1 ions, 2 traces)
# trace names: 'carrier dopp cool' 'carrier SB cool'
# format:
# | signalSlot | countcycle 1 .....
# |            | trace 0 | trace 1 |
# |            | ion 0   | ion 0   |
0	10	170.5	173.75	155.5	159.25	160.25	161.5	156.5	174	183.75	157.75	156.5	165.75	158.75	161.25	170.75	206	166.25	165.25	175	153.75	
9.9e-007	10	158.5	170.5	144.5	149.5	146.25	164.5	149.75	170	167.5	160	174.25	151.5	167.75	180.25	165	159.75	200.75	164.5	154.5	156.75	
1.98e-006	10	154.25	121	168.75	152.75	163.75	149.25	164.25	194.25	174	150	155.75	146.25	170	154.25	181.25	172.25	194.5	166.75	160.5	172.75	
2.97e-006	10	153	166.75	118.5	170	180.75	118	163	176.25	152.5	150.5	185.5	172	178	161.75	178	155.75	155	166	152.25	159.25	
3.96e-006	10	170	157	173.5	173	154.25	171.5	126.75	177.5	154.25	144	108.25	120.75	185.25	166.25	142.25	167.25	167.25	119.5	179.25	116.75	
4.95e-006	10	186.75	174.25	121.25	125	175	163.5	151.75	107.25	175.5	111.75	173.25	168.25	170.75	148	135.25	162.5	120.25	120.25	162	159.75	
5.94e-006	10	121.5	115	126.25	110	175.5	115.25	146.5	106.5	113	165.75	118.75	162.5	133.5	113.5	170.75	115	132	146.5	167	109.25	
6.93e-006	10	121	118.75	155.75	110.25	113.25	111.5	117.5	112.25	131.5	119.75	121.5	115.5	156.75	121	176	169.25	171.25	169	125	116.5	
7.92e-006	10	115.25	125.5	114	117.5	112.5	121.75	117.75	120.75	119.75	116.25	116.25	114.25	119	181.75	123.5	118.5	125.5	115	121	114.5	
8.91e-006	10	114.5	114	120.25	114.5	120	117.75	115.5	107.25	117	155.75	124.25	108.75	111.75	119.5	121	114	110	171	106.75	120.75	
9.9e-006	10	116	108.75	108.25	117.75	170.75	115.25	112.75	121.75	114.75	115.25	114	118.75	108.25	120.25	108.5	119.25	109.75	122.5	110.25	121.5	
1.089e-005	10	114.25	116.25	106.75	118.75	110	125.75	119.5	130.5	122.25	111.5	121.25	113.75	109	128.5	113	115.25	160.25	117.5	125.75	111	
