# EMCCD raw fluorescence data file (1 ions, 2 traces)
# trace names: 'carrier dopp cool' 'carrier SB cool'
# format:
# | signalSlot | countcycle 1 .....
# |            | trace 0 | trace 1 |
# |            | ion 0   | ion 0   |
2.1e-005	35	111.75	110.5	107	108	175	115.25	197.25	117.25	201.25	119	181.75	106	118.25	116.25	164.25	112.25	123.5	116.5	191.25	106	118.75	107.75	122.75	125.75	114.75	102.25	111	120.75	130.5	113.75	114	110.25	204	106	111.75	119.5	205.5	226.5	125.25	111.25	130.75	112.25	108.5	105.75	201	109.75	176.25	103.5	111.5	115	111.75	175.25	115.5	110.5	116	114.75	119.75	114.75	106.25	120.5	113	114.75	111.75	108	178.5	108	107.5	104.5	120.75	115	
2.31e-005	35	193.75	118.5	172.75	175	117.25	109	168.5	199	114.75	106.75	113.75	173	115.25	184.75	193	215	115.75	118.25	111.5	183.75	116.5	117	117	194.75	117.5	108.75	184.5	113.25	113	179.5	185.75	116.5	118	126	195.25	118.75	106.75	176	121	156.75	194.25	111.75	127.25	117.5	115	157.5	116	124.75	112.75	203	123.5	113.25	117.5	119.5	185.25	113	170	109.5	190.25	113	113.5	110.75	109.5	117.75	184.5	172.25	213.5	108.5	120.75	168.5	
2.52e-005	35	121	177.5	118.5	159.5	115	182.25	190.5	182.5	183.75	189	115.75	181.25	106.75	182.25	112.25	180.25	116	219.75	189.25	116	110.5	123.5	200.25	199	203	177.75	163	176	117	172.75	182.25	216.75	178.75	194.25	123.25	189.75	120.75	118.75	173.75	179.25	184.25	184.5	122.75	114.75	177.75	168.5	173.5	111	124.75	170.75	176.75	176.75	124.75	106.25	187.25	116.25	122.5	123.75	123.25	130.5	178	191.5	117.5	108.5	114.5	122.5	181.25	198.5	115.5	204	
2.73e-005	35	194	205.75	181.25	174.25	194.25	182	188.25	183.25	109	188.5	110.5	181.75	180.25	195	190.5	169.75	195.5	108	194.75	197.25	171.75	194	218	177	173	118	110	185.75	185.75	202	114.5	179	192.5	111	195	217.75	181	164	188.75	184.75	201.75	172.5	107.5	200.25	112.75	186.5	203	116	183.25	110.5	171	183.25	112	181.5	183.5	167.25	204	176.75	112.75	173.75	194.5	119.75	221.5	182.25	117.5	106	179.75	180.5	115.25	117	
2.94e-005	35	183	185	177.25	191.25	192.25	218.25	176	173.5	194.75	172.5	201.25	184.25	186.25	112.75	214	116.25	180.75	216.25	109.25	183.75	171.25	179	179.75	121.75	112.5	205.25	172.25	118.5	110	112.25	187.25	173.75	106.75	179	175	221.5	113.5	115.25	204.5	168.75	109.75	198.5	114.5	182.75	187.75	192.25	184.5	183.25	194.25	189.5	113.75	195	183	186.75	190.25	191.5	193	115	178	183	113.5	116.75	207.25	105.25	189.75	187.5	172.25	197	194	107.25	
3.15e-005	35	124	116	115.25	116.25	163.75	110	192.5	125.75	116.75	110	109.75	117.5	121.75	204.25	201.5	117.75	189.25	183.25	211.75	178.5	121.25	176.5	175.25	114.75	176	108.5	213	126	107.25	173	173	116	180.25	204	114.5	114	212	117.75	185.25	211.5	107.5	114.75	177.5	107.25	194.5	193	218	107	118	225.75	188.25	184	179.25	112.25	196.25	125.75	182.5	111.5	196	161	222.75	119.75	119	207.25	165.5	113.75	110	182	183.5	114.5	
3.36e-005	35	107	119	110.5	125.75	105.5	172.25	114	116.75	105.25	116	106.75	113	197.25	196	105.25	116.5	121	111	121	110.5	111	105.75	178.75	105.75	172.5	114.25	111.5	155	179.75	133.25	182.25	207	195.5	112	199.75	117.75	172.25	115.75	194	183.75	184.25	118	174.75	124	183.5	113.5	201.5	125.75	111	115.25	113.5	111.25	119	180.75	116	176.75	178.5	121.75	180.5	118.75	188.25	120.5	119.5	104.75	120	109.5	204.25	110.75	112.25	118.5	
3.57e-005	35	122.25	111	219.25	113.5	112.5	124.25	113.25	123	193.75	110	170.5	105.25	117.75	110.25	110.75	107.5	119.5	117.75	179.5	117	112.75	117.25	113.5	116.5	107	117	193.75	115.5	122.5	172.5	116.25	114.75	120.25	111.5	117.5	175.5	122.25	113.25	168.25	105.25	190.25	108.5	211.75	130.75	112.5	184.25	175.25	177.5	119.5	190	113.25	172	117.25	223.5	173	109.75	116.25	181	126.75	106	196.75	112	121	113.75	117.75	117	120.5	111.75	107.5	117	
3.78e-005	35	168.5	110.75	109.5	157.75	112.5	210.5	110.25	166.75	124.25	189.75	111.25	106	107.25	120	193	183.75	115.75	110	183.5	181	120	183	171.5	112.25	103.75	185.5	219	194.75	181.5	181.25	167.25	110.75	165.75	190	124.75	112.75	105.25	163.25	185	194.75	119.75	235.75	117.75	196.5	116.5	176.5	188.75	203.75	112.25	168.25	113.25	115.5	114.25	119.5	173.5	208	114.75	192	111	113	184.5	152.5	114.75	123.25	193.75	187.75	203.25	123.75	109.5	213.75	
3.99e-005	35	182	112.25	201.75	195.25	167.25	201	187.25	184.75	206	123.5	195	181	116.75	182.75	117.25	118.25	224.75	108.25	181.5	107.5	115.25	175.25	223	189.75	119	190.25	198	115	203	183	116.25	203	115	124	193.5	178.5	187.75	190.25	209	199.5	106.25	186	176.75	116.25	184.5	167	200	188.25	198.25	194.5	118.5	191.75	127	206.5	205.25	201	196.5	110	115	204.25	118	193	201.25	194	119	113.75	217	182.25	122.5	202.75	
4.2e-005	35	211	198	196.5	191.25	188.75	213	181.5	107.75	208	109.25	126	109.25	195.75	182.5	198	112	182	207.75	196.75	189.25	108.75	171.5	122.5	200.25	166.25	189	122.5	116.5	118.75	199.75	196.75	116	167.75	110.5	181.5	202.75	123	108.75	180	109.5	221	206	172.25	190.75	225.75	187.5	109	206.25	182.5	169.5	180.25	202.5	190.75	197.25	112.75	114.5	180	118.5	191.75	178.25	189.5	106	167.75	111	186	187	112.5	206	186.5	202.75	
4.41e-005	35	207.5	207.75	183.5	113.5	167.75	119.75	121	211	119.75	113.25	108.25	194	118	112.5	105.5	114.75	186	203.25	113.5	119	179.75	109.25	199	188.5	181	203	111.5	111.75	188.25	109	216.5	173.5	109.75	165.25	180.75	115.5	191	113.25	187	102.75	114.5	177.75	188.25	184.25	197.5	106.5	206.5	174	181.75	192.5	119	114.5	117.75	183.5	171	111.75	189.25	112.75	118.75	112	195.75	117.75	110.5	111	190.75	191.5	112.75	113.75	106.25	181.75	
4.62e-005	35	178.75	188	112.75	181.75	167	177.75	129.25	117	107.5	108.25	188.25	114.75	200.75	110.25	211.5	115	178.5	100.5	109.5	113.5	181.75	119.75	122.25	120	189.5	111	117.75	115.25	112.75	108.5	109	110.5	111.25	119	188.25	184.25	111.25	114	116	116.5	180.25	114.5	105.5	113.5	201.5	116.75	117	108	111.5	111.5	115	105.75	172.25	119	211.25	192.5	186.75	114.75	111.5	118.5	120.25	112	108.25	107	115	118.5	203.75	104.5	106	120.75	
4.83e-005	35	114.5	117.25	120	186.25	113.5	112.5	106	111.5	121.5	127.75	172.75	108.25	221.5	114.25	114.25	122.75	117.75	112.75	111.25	108.5	115.25	113.25	117	119.75	115	114.75	106.75	170.75	220	109.25	208.5	116	227.25	121.25	114	116.5	113.75	116.5	121.5	180	118.75	116.25	108	109	120	186.5	111.75	192.75	210.5	116.75	111.5	110.25	117	123.25	207.25	195	184.25	111.25	168.75	115.5	188.75	111	113	113	168	131.5	115	114.25	110.25	115.75	
5.04e-005	35	187.5	105	132.5	208.25	218.25	199	201	189.5	169.75	180	193.75	118.25	123.75	202	186.5	212.75	109.25	188.75	121	201.75	165.5	107.5	106.5	119	115.25	164.5	187.5	182.25	102.5	227	214.25	111	126.5	195.75	111.25	111.25	106.75	189.25	184.25	171.25	184.5	175.25	208.5	185	109	191.25	182.5	107.75	111	113.75	114.5	123	221.25	119	179.75	225.75	187.5	195.25	194.25	105.5	199.5	214	107.5	108.75	210.75	155.25	120.75	180.75	124	182.5	
5.25e-005	35	115	175	116.25	192	188	205.75	118.75	182	116	203.25	189	170.75	108.75	122.75	205.75	183	114	188.75	115.75	190.5	190.75	123.5	206	194.25	197.75	114.5	169	117.75	110.25	199	162.5	180.25	212.25	187.25	179.75	113	114.75	113.5	109	116.75	110	151.75	120.25	119	116	179.5	114.25	185.25	197	200.75	195.25	178	122.75	111.5	210.75	218.5	113.5	192	200.25	207	164.5	169.25	111.5	198.5	111.5	123	199	182.75	185.5	185.5	
5.46e-005	35	168.5	119.75	191	119.25	210	183.25	111.75	118.25	123.75	109.5	108.75	192	211.75	210.25	111.5	194.25	183.5	185	196	185.5	204.25	200.25	210.5	177.5	184	195.25	196.25	184	127.75	158.5	192.5	119	209.75	135	116.5	181.75	187.25	198	210.5	184.25	113	110.5	124.5	184.5	169.25	180	191.75	204	110.25	186.5	116.75	116	193	204.25	200.75	199	105.25	168	111.25	172.75	111	121.75	159.25	178	119.25	117	184.25	215.5	202.25	217.75	
5.67e-005	35	117.75	191.75	116.75	115.75	109.5	187	194.5	118.25	196	201.5	114.25	116.75	180	114.5	171	181	187.5	196.25	174.25	194.25	114.5	123.5	164.75	109.75	198.75	169.75	174.75	190.75	189.75	105.75	199.25	172.25	192.5	107.75	114.25	188	197	112.75	191	182.75	193.75	171	193.25	170.25	210	190.75	220.5	116.75	205	116.5	113	123	115	199.25	108.5	180.75	119.5	158.25	206.25	183.5	177	114.75	183.5	106.75	193.25	104.25	114.25	104.5	109.25	123	
5.88e-005	35	116.75	112.75	186.75	174	209	119.75	189.25	117	204.25	108.5	182.5	109.75	118.75	118.5	117.5	105.5	121.5	175.5	179	200	197.75	109.75	180.5	112.75	200.25	213.5	110.5	201.75	171.25	110.75	119.75	115.25	108.5	124.5	107.25	115	185.25	105	206.75	126	124	113	181.75	200.5	174	132.25	197.75	184.25	116.75	122.5	196	105.25	212	107	119.5	112.25	171.75	115.25	203.75	127	200	117	108.5	115.5	123.5	124	181.25	110.5	220	180.25	
