,frec,X,Y
0,1238,2.0503997802734375e-05,2.7120113372802734e-05
1,939,4.571676254272461e-05,2.390146255493164e-05
2,712,5.829334259033203e-05,7.152557373046875e-06
3,540,5.036592483520508e-05,6.67572021484375e-06
4,409,4.89354133605957e-05,7.867813110351562e-06
5,310,4.667043685913086e-05,5.424022674560547e-06
6,235,4.9948692321777344e-05,5.304813385009766e-06
7,178,5.2809715270996094e-05,1.9669532775878906e-06
8,135,5.0902366638183594e-05,1.7881393432617188e-07
9,102,5.0067901611328125e-05,-2.384185791015625e-07
10,77,4.9114227294921875e-05,6.556510925292969e-07
11,58,4.857778549194336e-05,1.7285346984863281e-06
12,44,4.845857620239258e-05,3.635883331298828e-06
13,33,4.8995018005371094e-05,5.781650543212891e-06
14,25,4.673004150390625e-05,7.62939453125e-06
15,19,4.4226646423339844e-05,1.0251998901367188e-05
16,14,4.202127456665039e-05,1.150369644165039e-05
17,11,4.0590763092041016e-05,1.0251998901367188e-05
18,8,4.32133674621582e-05,8.165836334228516e-06
19,6,4.8100948333740234e-05,9.953975677490234e-06
20,4,4.792213439941406e-05,1.8596649169921875e-05
21,3,4.285573959350586e-05,2.7835369110107422e-05
22,2,3.123283386230469e-05,3.361701965332031e-05
23,2,2.2530555725097656e-05,3.463029861450195e-05
24,1,2.104043960571289e-05,3.3795833587646484e-05
25,1,2.0682811737060547e-05,3.4749507904052734e-05
26,0,2.0802021026611328e-05,1.245737075805664e-05
27,0,1.9729137420654297e-05,-1.8537044525146484e-05
28,0,1.9252300262451172e-05,-3.403425216674805e-05
29,0,1.895427703857422e-05,-3.987550735473633e-05
30,0,1.9431114196777344e-05,-4.26173210144043e-05
31,0,1.9431114196777344e-05,-4.3392181396484375e-05
32,0,1.9431114196777344e-05,-4.363059997558594e-05
33,0,1.919269561767578e-05,-4.3392181396484375e-05
34,0,1.9311904907226562e-05,-4.3451786041259766e-05
35,0,1.9371509552001953e-05,-4.3332576751708984e-05
36,0,1.9550323486328125e-05,-4.3332576751708984e-05
37,0,1.9311904907226562e-05,-4.3332576751708984e-05
38,0,1.9252300262451172e-05,-4.357099533081055e-05
39,0,1.901388168334961e-05,-4.357099533081055e-05
40,0,1.919269561767578e-05,-4.3392181396484375e-05
41,0,1.9669532775878906e-05,-4.363059997558594e-05
42,0,1.9669532775878906e-05,-4.363059997558594e-05
43,0,1.9490718841552734e-05,-4.3272972106933594e-05
44,0,1.990795135498047e-05,-4.3451786041259766e-05
45,0,1.996755599975586e-05,-4.3392181396484375e-05
46,0,1.9609928131103516e-05,-4.3511390686035156e-05
47,0,1.9371509552001953e-05,-4.363059997558594e-05
48,0,1.9431114196777344e-05,-4.374980926513672e-05
49,0,1.9431114196777344e-05,-4.3332576751708984e-05
50,0,1.9371509552001953e-05,-4.3332576751708984e-05
51,0,1.9431114196777344e-05,-4.3272972106933594e-05
52,0,1.9371509552001953e-05,-4.3511390686035156e-05
53,0,1.9729137420654297e-05,-4.363059997558594e-05
54,0,1.9669532775878906e-05,-4.3451786041259766e-05
55,0,1.9371509552001953e-05,-4.357099533081055e-05
56,0,1.8775463104248047e-05,-4.315376281738281e-05
57,0,1.8894672393798828e-05,-4.303455352783203e-05
58,0,1.9609928131103516e-05,-4.3511390686035156e-05
59,0,1.9788742065429688e-05,-4.3511390686035156e-05
