,frecs,X,Y
0,1238,0.0033257007598876953,-0.026561498641967773
1,1050,0.004213213920593262,-0.03130275011062622
2,890,0.005505740642547607,-0.0369681715965271
3,755,0.007213115692138672,-0.0436854362487793
4,640,0.009712576866149902,-0.05181300640106201
5,543,0.013246893882751465,-0.061675429344177246
6,460,0.018764138221740723,-0.0740240216255188
7,390,0.02768021821975708,-0.08964681625366211
8,331,0.04383695125579834,-0.11006277799606323
9,280,0.08097076416015625,-0.13689672946929932
10,238,0.18450766801834106,-0.13690119981765747
11,201,0.21575093269348145,0.06062561273574829
12,171,0.06878751516342163,0.06923240423202515
13,145,0.021882832050323486,-0.0007023811340332031
14,123,0.02022409439086914,-0.054182469844818115
15,104,0.03269672393798828,-0.09391152858734131
16,88,0.05140030384063721,-0.12525635957717896
17,75,0.07361245155334473,-0.15034902095794678
18,63,0.1022348403930664,-0.17309117317199707
19,53,0.13459336757659912,-0.19057375192642212
20,45,0.1682659387588501,-0.2018863558769226
21,38,0.20477378368377686,-0.20765024423599243
22,32,0.24202877283096313,-0.2069300413131714
23,27,0.277296781539917,-0.20014536380767822
24,23,0.3081222176551819,-0.18900352716445923
25,20,0.33221757411956787,-0.17620587348937988
26,16,0.3649809956550598,-0.15164238214492798
27,14,0.3810126781463623,-0.1354222297668457
28,12,0.3964642286300659,-0.11599397659301758
29,10,0.4109686613082886,-0.09274262189865112
30,8,0.4242047667503357,-0.064877450466156
31,7,0.4299752712249756,-0.04826933145523071
32,6,0.4352598190307617,-0.030029892921447754
33,5,0.4433289170265198,-0.010384559631347656
34,4,0.4547538757324219,0.032042503356933594
35,3,0.4401227831840515,0.07100623846054077
36,2,0.4277837872505188,0.11655884981155396
37,1,0.39512282609939575,0.1976931095123291
