,frecs,X,Y
0,1238,0.003294229507446289,-0.026508092880249023
1,1050,0.004215419292449951,-0.03126734495162964
2,890,0.005486905574798584,-0.03693574666976929
3,755,0.007217526435852051,-0.04366803169250488
4,640,0.009695470333099365,-0.05179905891418457
5,543,0.013225793838500977,-0.06165570020675659
6,460,0.01873183250427246,-0.07405668497085571
7,390,0.027658820152282715,-0.08964371681213379
8,331,0.04384642839431763,-0.1100655198097229
9,280,0.08097231388092041,-0.13689905405044556
10,238,0.18449729681015015,-0.13691037893295288
11,201,0.21565234661102295,0.06078368425369263
12,171,0.0687982439994812,0.06921672821044922
13,145,0.02188241481781006,-0.0006736516952514648
14,123,0.02021080255508423,-0.05414301156997681
15,104,0.03267472982406616,-0.09387308359146118
16,88,0.05139368772506714,-0.1252150535583496
17,75,0.07359808683395386,-0.15029942989349365
18,63,0.10222208499908447,-0.17304319143295288
19,53,0.13463395833969116,-0.1905299425125122
20,45,0.16826015710830688,-0.20184814929962158
21,38,0.20469820499420166,-0.20755428075790405
22,32,0.2419530749320984,-0.20683562755584717
23,27,0.27727872133255005,-0.20008373260498047
24,23,0.30809009075164795,-0.18892180919647217
25,20,0.3322029709815979,-0.17613542079925537
26,16,0.3649609088897705,-0.15159189701080322
27,14,0.38099992275238037,-0.13536906242370605
28,12,0.3964313864707947,-0.11594468355178833
29,10,0.41094768047332764,-0.09270960092544556
30,8,0.4241642951965332,-0.06485307216644287
31,7,0.4299633502960205,-0.048263609409332275
32,6,0.4352392554283142,-0.03002554178237915
33,5,0.44331926107406616,-0.01038515567779541
34,4,0.45473605394363403,0.03204876184463501
35,3,0.44009774923324585,0.07100063562393188
36,2,0.4277477264404297,0.1165512204170227
37,1,0.3950948119163513,0.19769614934921265
