,frecs,X,Y
22,1029,0.00449293851852417,-0.03238719701766968
23,1020,0.004554450511932373,-0.03267323970794678
24,1012,0.004610717296600342,-0.032936275005340576
25,1003,0.004676103591918945,-0.03323256969451904
26,995,0.004734814167022705,-0.033501386642456055
27,987,0.004796385765075684,-0.03377676010131836
28,978,0.004865407943725586,-0.0340840220451355
29,970,0.004929184913635254,-0.03436928987503052
30,962,0.004996180534362793,-0.0346638560295105
31,954,0.0050640106201171875,-0.0349576473236084
32,946,0.005131900310516357,-0.0352553129196167
33,938,0.005202114582061768,-0.03556030988693237
34,930,0.005275130271911621,-0.035872459411621094
35,922,0.005347073078155518,-0.03618729114532471
36,915,0.005416452884674072,-0.036474525928497314
37,907,0.005492746829986572,-0.036795735359191895
38,899,0.005572319030761719,-0.03712671995162964
39,892,0.005643069744110107,-0.0374218225479126
40,884,0.005728781223297119,-0.037764549255371094
41,877,0.0058040618896484375,-0.03807222843170166
42,870,0.005881249904632568,-0.03838169574737549
43,862,0.005970656871795654,-0.03873974084854126
44,855,0.006051301956176758,-0.039062678813934326
45,848,0.006134748458862305,-0.039391160011291504
46,841,0.006221771240234375,-0.03972315788269043
47,834,0.006307423114776611,-0.04005920886993408
48,827,0.006398200988769531,-0.040405452251434326
49,820,0.006488442420959473,-0.04075521230697632
50,813,0.006582379341125488,-0.041107356548309326
51,806,0.006679356098175049,-0.04147058725357056
52,799,0.00677943229675293,-0.04184001684188843
53,793,0.006866514682769775,-0.04216712713241577
54,786,0.006972551345825195,-0.04254615306854248
55,779,0.007079184055328369,-0.04293340444564819
56,773,0.00717538595199585,-0.04328024387359619
57,766,0.007287204265594482,-0.043680548667907715
58,760,0.007387995719909668,-0.04403793811798096
59,754,0.007490932941436768,-0.04439997673034668
60,747,0.0076122283935546875,-0.04482048749923706
61,741,0.007721245288848877,-0.0451960563659668
62,735,0.007830917835235596,-0.04557400941848755
63,729,0.007944107055664062,-0.04595750570297241
64,722,0.008082091808319092,-0.04642069339752197
65,716,0.008200407028198242,-0.0468173623085022
66,710,0.008322656154632568,-0.04722100496292114
67,704,0.008448898792266846,-0.04763537645339966
68,699,0.008557438850402832,-0.04799306392669678
69,693,0.008686363697052002,-0.04841345548629761
70,687,0.008825182914733887,-0.04885387420654297
71,681,0.008965849876403809,-0.04929828643798828
72,675,0.009107530117034912,-0.049747347831726074
73,670,0.00923311710357666,-0.050142765045166016
74,664,0.009379684925079346,-0.050606608390808105
75,659,0.009513795375823975,-0.051013052463531494
76,653,0.009672284126281738,-0.05149829387664795
77,648,0.009811818599700928,-0.051919400691986084
78,642,0.009977161884307861,-0.05241912603378296
79,637,0.010123670101165771,-0.05285525321960449
80,631,0.01029902696609497,-0.05337166786193848
81,626,0.010455965995788574,-0.05382871627807617
82,621,0.010611772537231445,-0.05428266525268555
83,616,0.010770916938781738,-0.05474334955215454
84,610,0.01096642017364502,-0.05530065298080444
85,605,0.011141598224639893,-0.0557858943939209
86,600,0.011315882205963135,-0.05627286434173584
87,595,0.0114937424659729,-0.05676901340484619
88,590,0.011678457260131836,-0.05727189779281616
89,585,0.011867344379425049,-0.05778145790100098
90,580,0.012063324451446533,-0.058307111263275146
